VRPTW-Hakata-PaperStyle-20-01
VEHICLE
NUMBER
CAPACITY
1	30

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE TIME
0	130.467418	33.581687	0	0	480	0
1	130.457111	33.549464	8	910	2400	452
2	130.449306	33.601000	3	1353	3224	730
3	130.460662	33.557661	5	8242	9922	790
4	130.459193	33.560519	2	6528	7929	402
5	130.457587	33.595707	9	12874	14760	433
6	130.463531	33.550339	3	5998	7571	614
7	130.458017	33.591395	1	9088	11329	599
8	130.457859	33.583550	5	11611	13631	515
9	130.466491	33.545288	8	3470	5683	584
10	130.451582	33.553106	2	8556	10414	425
11	130.452811	33.593263	3	24277	25418	617
12	130.469458	33.586462	6	3912	5922	673
13	130.438725	33.585762	6	1332	2920	340
14	130.449353	33.570450	7	7675	9400	538
15	130.437817	33.573664	7	357	1595	536
16	130.425611	33.577270	6	7869	10290	785
17	130.426560	33.592443	1	6330	8529	457
18	130.438732	33.589362	7	1055	2556	334
19	130.475586	33.558032	1	13284	14606	497
20	130.434975	33.575584	3	9906	10978	451
